Key	Usage	en	it	es	fr	de	ja	ko	pt	ru	pl	zh
BtnTitle_ContinueOnCellular		Continue on Cellular	Continua con la connessione dati del cellulare	Continuar con datos móviles	continuer en connectant les données du téléphone portable	Weiter mit dem mobilen Datenvolumen	携帯で続ける	모바일 네트워크 연결	Continuar em dados móveis 	ПРОДОЛЖИТЬ НА МОБИЛЬНОМ ТЕЛЕФОНЕ	Kontynuuj w sieci komόrkowej	在蜂窝网络上继续
BtnTitle_Quit	"It is used when there is a new version of the app and the user is still using an old version. An alert is shown when they open the app telling them that they need to update before they can use and then they are given the options ""update"" and ""quit"""	Quit	Esci 	Salir	Quitter	Schließen	終了	나가기	Sair	ВЫЙТИ	Wyjdź	退出
BtnTitle_Update		Update	Aggiorna 	Actualizar	Mettre à jour	Aktualisieren	更新	업데이트	Atualizar	ОБНОВИТЬ	Aktualizuj	更新
BtnTitle_OK		OK	OK 	OK	OK	OK	オーケー	OK	OK	ОК	OK	好
BtnTitle_Download		DOWNLOAD	SCARICA 	DESCARGAR	TÉLÉCHARGER	HERUNTERLADEN	ダウンロード	다운로드	Baixar 	СКАЧАТЬ	POBIERZ	下载
BtnTitle_NearestPoint		NEAREST POINT	PUNTO PIÙ VICINO 	PUNTO MAS CERCANO	POINT LE PLUS PROCHE	NÄCHSTE SEHENSWÜRDIGKEIT	最寄りの場所	현위치 주변 정보	Ponto mais próximo	БЛИЖАЙШИЙ ПУНКТ	NAJBLIŻSZY PUNKT	最近地点
BtnTitle_StartNavigation	  	GO	VAI	IR	ALLER	LOS	進め	가기	Ir	ПЕРЕЙТИ	NAWIGUJ	前去
BtnTitle_StopNavigation		STOP	STOP 	STOP	STOP	STOPP	ストップ	멈추기	Parar	ОСТАНОВИТЬСЯ	STOP	停止
BtnTitle_CalculateRoute		CALCULATE ROUTE	CALCOLA IL PERCORSO 	Calcular ruta	CALCULER ROUTE	ROUTE BERECHNEN	ルートの検索	경로찾기	Calcular percurso	РАССЧИТАТЬ МАРШРУТ	OBLICZ TRASĘ	计算路线
BtnTitle_ClearRoute		CLEAR ROUTE	CANCELLA IL PERCORSO 	Cancelar ruta	DÉGAGER ROUTE	ROUTE LÖSCHEN	ルートの解除	경로취소	Limpar percurso	УДАЛИТЬ МАРШРУТ	WYCZYŚĆ TRASĘ	清除路线
BtnTitle_Delete		DELETE	Cancella   	BORRAR	SUPPRIMER	Löschen	キャンセル	지우기	Cancelar	УДАЛИТЬ	USUŃ	删除
Label_Username		Username	Nome utente	Usuario	Nom d'utilisateur	Benutzername	ユーザーネーム	아이디	Nome de usuário	ИМЯ ПОЛЬЗОВАТЕЛЯ	Nazwa użytkownika	用户名
Label_Password		Password	Password 	Contraseña	Mot de passe	Passwort	パスワード	비밀번호	Senha	ПАРОЛЬ	Hasło	密码
Label_PointsOfInterest		POINTS OF INTEREST	PUNTI DI NTERESSE 	Puntos de Interés	POINTS D'INTERÊTS	SEHENSWÜRDIGKEITEN	到着地点	관심 포인트	Pontos de Interesse	ДОСТОПРИМЕЧАТЕЛЬНОСТИ	PUNKTY ZAINTERESOWANIA	景点
Label_Extra		EXTRA	EXTRA 	EXTRA	EXTRA	EXTRA	エクストラ	특별 관심 포인트	Extra	ДОПОЛНИТЕЛЬНЫЕ   ОПЦИИ	DODATKI	额外
Label_Distance		Distance	Distanza 	Distancia	Distance	Entfernung	距離　	거리	Distância	РАССТОЯНИЕ	Odległość	距离
Label_TravelTime		Estimated Travel Time	Tempo di percorrenza previsto 	Tiempo estimado	Temps du parcours estimé	Geschätzte Reisedauer	予想時間	예상시간	Tempo estimado de viagem	ПРИБЛИЗИТЕЛЬНОЕ ВРЕМЯ В ПУТИ	Szacowany czas podrόży	预计的行程时间
AlertTitle_PlaceholderAlert		Alert	Avviso 	Atención	Avertissement	Achtung	通知	경고	Alerta	ОПОВЕЩЕНИЯ	Ostrzeżenie	警告
AlertDesc_PlaceholderAlert		Some Error Occurred	Si è verificato un errore.	Se ha producido un error	 Une erreur s’est produite	Es ist ein Fehler aufgetreten	エラー	오류	Ocorreu algum erro	ОШИБКА	Wystąpił błąd	发生错误
AlertTitle_Attention		Attention!	Attenzione! 	¡Atención!	Attention!	Achtung!	注意！	주의!	Atenção	ВНИМАНИЕ!	Uwaga!	注意！
AlertTitle_Failure		Failure!	Errore!	¡Error!	Échec!	Fehler!	失敗！	실패!	Falha!	СБОЙ!	Operacja nie powiodła się!	失败！
AlertDesc_RouteCalculationFailure		An error occured while calculating the route.	Si è verificato un errore durante il calcolo del percorso.	Ha habido un error mientras se calculaba la ruta	Une erreur s’est produite lors du calcul de l'itinéraire	Fehler bei der Berechnung der Route	ルートの検索中にエラーがしょうじました。	경로를 찾던 중 오류가 발생했습니다. 	Ocorreu um erro durante o cálculo do percurso	ПРОИЗОШЛА ОШИБКА ПРИ РАСЧЕТЕ МАРШРУТА.	Wystąpił błąd podczas obliczania trasy	计算路线发生错误
AlertTitle_LocationServiceError		Location Service Error!	Errore del servizio di localizzazione! 	¡Error de localización!	Erreur du service de localisation	Fehler bei der Standortberechnung!	位置の決定に失敗しました。	위치 서비스 오류	Erro no serviço de localização!	ОШИБКА ПРИ ОПРЕДЕЛЕНИИ МЕСТОПОЛОЖЕНИЯ	Błąd usługi lokalizacyjnej!	位置服务错误！
AlertDesc_LocationServiceError		Location service is required for calculating your current position.\nPlease enable it from the App's settings	Si richiede il servizio di localizzazione per calcolare la tua posizione attuale. \n Per attivarlo, vai alle impostazioni dell'applicazione.	Se necesita acceder a la ubicación para calcular la posición actual.\nPor favor, actívela en los ajustes de la aplicación.	Il est nécessaire d’activer service de localisation pour calculer votre position actuelle. \ nVeuillez l’activer dans les paramètres de l'application.	Um Ihre aktuelle Position berechnen zu können, muss die Funktion der Standortberechnung aktiviert sein \nBitte aktivieren Sie die Funktion im Menu Einstellungen der App	現在地を計算するには位置情報サービスが必要です。\nアプリの設定から有効にして下さい。	현재 위치를 찾으려면 위치 서비스가 필요합니다. \ n 앱 설정에서 사용하도록 설정하십시오.	É preciso ter um serviço de localização ativo para calcular a sua posição atual. \n Favor ativa-lo nas configurações	СЛУЖБА ОПРЕДЕЛЕНИЯ МЕСТОПОЛОЖЕНИЯ НЕОБХОДИМА ДЛЯ ОПРЕДЕЛЕНИИЯ   ТЕКУЩЕГО МЕСТОПОЛОЖЕНИЯ.  \nПОЖАЛУЙСТА, ВКЛЮЧИТЕ ОПРЕДЕЛЕНИЕ МЕСТОПОЛОЖЕНИЯ В НАСТРОЙКАХ	Aktywna usługa lokalizacyjna jest niezbędna do obliczenia obecnej pozycji.\nAktywuj ją proszę w ustawieniach	计算当前位置所需地点服务功能\n请从应用程序的设置中启动
AlertDesc_AccountSwitch		You are now switching to another account.	Stai effettuando l'accesso con un altro account.	Está cambiando de cuenta	Vous passez maintenant sur un autre compte.	Sie wechseln jetzt zu einem anderen Benutzerkonto	他のアカウントに切り替えます。	다른 계정으로 전환하고 있습니다.	Você está mudando agora para outra conta	ВЫ ПЕРЕХОДИТЕ НА ДРУГУЮ УЧЕТНУЮ ЗАПИСЬ	Przechodzisz do innego konta	您正在切换到另一个账号
AlertTitle_NetworkError		Network Error!	Errore di connessione alla rete!	¡Error de red!	erreur réseau	Netzwerkfehler!	ネットワーク・エラー！	네트워크 오류!	Erro de conexão com a rede!	СЕТЕВАЯ ОШИБКА!	Błąd sieci!	网络错误！
AlertDesc_NetworkError		Active Internet Connection was not found.\nPlease try again later	Nessuna connessione internet attiva!\nSi prega di riprovare più tardi.	¡No hay conexión a internet!\nPor favor, pruebe más tarde.	Aucune connexion Internet active! \ nVeuillez réessayer plus tard.	Keine Internetverbindung!\nBitte später erneut versuchen	インターネットの接続が見つかりません。\n再度お試しください。	인터넷 연결을 찾을 수 없습니다. \ n 나중에 다시 시도하십시오.	Nenhuma conexão internet ativa! \n Por favor, tente novamente mais tarde	АКТИВНОЕ ПОДКЛЮЧЕНИЕ К ИНТЕРНЕТУ НЕ БЫЛО НАЙДЕНО.  \n ПОЖАЛУЙСТА, ПОПРОБУЙТЕ ПОЗЖЕ.	Nie znaleziono aktywnego połączenia z Internetem.\nProszę spróbuj ponownie później 	未找到网络连接。\n请稍后再试
AlertDesc_CellularDownload		We don't recommend downloading large data on cellular network. Please connect to a wi-fi network for downloading the package	Raccomandiamo di non scaricare grandi quantità di dati dalla rete cellulare. Accedi a una rete Wi-fi per scaricare il pacchetto.  	No aconsejamos decargar grandes cantidades de datos con la red móvil. Por favor, conéctese a una red wi-fi para descargar el paquete.	Nous vous déconseillons de télécharger de grandes quantités de données sur le réseau mobile. Veuillez vous connecter à un réseau wi-fi pour télécharger l’ensemble des fichiers	Wir empfehlen, große Datenmengen nicht über die mobile Datenverbindung Ihres Gerätes herunterzuladen. Bitte verbinden Sie das Gerät mit einem W-Lan-Netzwerk, um das Paket herunterzuladen.	携帯電話ネットワークで大量のデータをダウンロードすることはお勧めしません。 パッケージをダウンロードするにはWi-Fiネットワークに接続して下さい。	모바일 네트워크로 대용량 데이터를 다운로드하는 것은 권장하지 않습니다. 패키지 다운로드를 위해 Wi-Fi 네트워크에 연결하십시오.	Não recomendamos baixar grandes arquivos com os dados do celular. Por favor, conecte-se a uma rede wi-fi para baixar o pacote	НЕ РЕКОМЕНДУЕТСЯ ЗАГРУЖАТЬ БОЛЬШИЕ ОБЪЕМЫ ПО МОБИЛЬНОЙ СЕТИ. ПОДКЛЮЧИТЕСЬ К СЕТИ WI-FI ДЛЯ СКАЧИВАНИЯ ПАКЕТА	Nie zaleca się pobierania dużych ilości danych przez sieć komόrkową. Aby pobrać pakiet, włącz proszę sieć wi-fi	我们不建议在蜂窝网络上下载大量数据。请连接Wi-fi网络以下载套装软件
AlertDesc_MandatoryAppUpdate		You should update the app to be able to continue using it	È necessario aggiornare l'applicazione per continuare a usarla.	Debe actualizar la aplicación para continuar	Nous vous conseillons de mettre à jour l’application afin de pouvoir continuer de l’utiliser	Wir empfehlen, ein Update der App vorzunehmen, um sie weiterhin nutzen zu können.	継続してご使用になる場合、アプリの更新をして下さい。	계속 사용하려면 앱을 업데이트 해야합니다.	Aconselhamos que atualize o aplicativo para continuar a usa-lo	НЕОБХОДИМО ОБНОВИТЬ ПРИЛОЖЕНИЕ ДЛЯ ЕГО ДАЛЬНЕЙШЕГО ИСПОЛЬЗОВАНИЯ	Aby mόc dalej korzystać z aplikacji, pobierz aktualizację	您应该更新应用程序，以便继续使用
AlertTitle_OutOfCityLimits		Out of City Limits	Area extraurbana 	Fuera de los límites de la ciudad	En dehors des limites de la ville	Außerhalb der Stadtgrenzen	圏外	도시제한	Fora dos limites da cidade	ЗА ПРЕДЕЛАМИ ГОРОДА	Poza obrębem miasta	超出城区范围
AlertDesc_OutOfCityLimits		Your current location is out of the City Limits\nRoute calculation and Navigation wont be possible	La tua posizione attuale è in area extraurbana!\nLa navigazione e il calcolo dei percorsi non saranno accessibili.	¡Su posición está fuera de los límites de la ciudad!\n ¡Atención, no podrá acceder a la navegación ni a los recorridos!	Votre position actuelle est en dehors des limites de la ville! \ nLa navigation et les parcours hors ligne ne seront pas accessibles!	Ihre aktuelle Position befindet sich außerhalb der Stadtgrenzen!\nDie Offline-Funktion zur Navigation und für die Routenplanung kann nicht genutzt werden!	あなたの現在地は圏外です\nルート計算とナビゲーションはできません。	현재 위치가 도시 제한을 벗어났습니다. \ n 경로 계산 및 탐색이 불가능합니다.	A sua posição atual é fora dos limites da cidade! \n A navegação e o cálculo do percurso não serão possíveis! 	ВАШЕ ТЕКУЩЕЕ МЕСТОПОЛОЖЕНИЕ НАХОДИТСЯ ЗА ПРЕДЕЛАМИ ГОРОДА,\n И РАСЧЕТ МАРШРУТА И НАВИГАЦИЯ НЕВОЗМОЖНЫ	Twoja obecna pozycja jest poza obrębem miasta.\nObliczenie trasy i nawigacja są niemożliwe	您当前的位置超出城区范围\n路线计算及导航无法使用
AlertTitle_EmptyCredentials		Empty Credentials	È necessario inserire nome utente e password.	Credenciales vacías	Aucun identifiant	Keine Nutzerdaten eingegeben	個人情報なし	인증서 오류	Credencias vazias	НЕ ЗАПОЛНЕНЫ РЕКВИЗИТЫ ПОЛЬЗОВАТЕЛЯ (УЧЕТНЫЕ ДАННЫЕ)	Brak danych logowania	未输入用户名
AlertDesc_EmptyCredentials		Please enter the username and password	Digita nome utente e password.	Por favor, introduzca el nombre de usuario y la contraseña 	Veuillez saisir le nom d'utilisateur et le mot de passe	Bitte geben Sie Benutzernamen und Passwort ein	ユーザーネームとパスワードを挿入して下さい。	사용자 이름과 암호를 입력하십시오. 	Por favor, digite o seu nome de usuário e a sua senha	ПОЖАЛУЙСТА, ВВЕДИТЕ ИМЯ ПОЛЬЗОВАТЕЛЯ И ПАРОЛЬ	Wpisz proszę nazwę użytkownika i hasło	请输入用户名及密码
AlertTitle_AuthenticationError		Authentication Error	Errore di autenticazione.	Error de autenticación	Problème d’identification	Es ist ein Problem bei der Verifizierung der Benutzerdaten aufgetreten.	認識エラー	인증 오류	Problema de autenticação	ОШИБКА АУТЕНТИФИКАЦИИ	Błąd uwierzytelnienia	授权错误
AlertDesc_AuthenticationError		Please check the Credentials and try again	Controlla nome utente e password, poi riprova.	Por favor, compruebe que el nombre de usuario y la contraseña son correctos	Veuillez vérifier le nom d'utilisateur et le mot de passe avant de réessayer	Bitte überprüfen Sie Benutzernamen und Passwort, bevor Sie es erneut versuchen.	ユーザーネームとパスワードを確認し、もう一度やり直して下さい。	사용자 이름과 암호를 확인한 후 다시 시도하십시오.	Por favor, verifique as credenciais e tente novamente	ПРОВЕРЬТЕ УЧЕТНЫЕ ДАННЫЕ И ПОВТОРИТЕ ПОПЫТКУ	Sprawdź proszę dane logowania i sprόbuj ponownie	请检查用户名密码，然后重试
AlertDesc_DownloadError		Some error occurred while downloading the package.\nPlease try again.	Si è verificato un errore durante il download del pacchetto.\nRiprova	Error durante la descarga del paquete.\n Por favor, inténtelo de nuevo.	Erreur de téléchargement. \ nVeuillez réessayer	Ladefehler.\n Bitte erneut versuchen.	ダウンロード中にエラーが生じました。\nもう一度やり直して下さい。	패키지 다운로드 중 오류가 발생했습니다. \ n 다시 시도하십시오.	Ocorreu um erro ao tentar baixar o pacote. \n Por favor, tente novamente mais tarde	ОШИБКА ВО ВРЕМЯ ЗАГРУЗКИ ПАКЕТА.  \n ПОВТОРИТЕ ПОПЫТКУ.	Wystąpił błąd podczas pobierania pakietu.\nProszę sprόbuj ponownie	下载旅游包时出现错误\ n请重试
AlertTitle_DownloadError		Download Error	Errore di download.	Error de descarga	Erreur de téléchargement	Fehler beim Herunterladen der Daten	ダウンロードエラー	다운로드 오류 다운로드 오류 다운로드 오류	Erro ao baixar	ОШИБКА ЗАГРУЗКИ	Błąd pobierania	下载错误
AlertTitle_SyncError		Sync Error	Errore di sincronizzazione	Error de sincronización	Erreur de synchronisation	Es ist ein Fehler bei der Synchronisierung aufgetreten	同期化エラー	동기화 오류	Erro de sincronização!  	ОШИБКА СИНХРОНИЗАЦИИ. ПОЖАЛУЙСТА, ПОПРОБУЙТЕ ПОЗЖЕ	Błąd synchronizacji.	同步错误
AlertDesc_SyncError		Some error occurred while syncing the data!\nPlease try again later	Si è verificato un errore durante la sincronizzazione dei dati!\nRiprova più tardi.	¡Error de sincronización!\n Por favor, inténtelo de nuevo más tarde	Erreur lors de la synchronisation des données \nVeuillez réessayer plus tard	Es ist ein Fehler bei der Synchronisierung aufgetreten!\nBitte zu einem späteren Zeitpunkt erneut versuchen	データの同期中にエラーが発生しました！\nもう一度お試しください。	데이터 동기화 중 오류가 발생했습니다! \ n 나중에 다시 시도하십시오.	Ocorreu algum erro durante a sincronização! \n Tente novamente mais tarde	ОШИБКА ВО ВРЕМЯ СИНХРОНИЗАЦИИ.  \n ПОЖАЛУЙСТА, ПОПРОБУЙТЕ ПОЗЖЕ	Błąd synchronizacji danych.\nProszę sprόbuj ponownie pόźniej	同步数据时发生了一些错误！\n请稍后再试
AlertTitle_InternalError		Internal Error	Errore interno 	Error interno	Erreur interne	Interner Fehler	内部エラー	내부 오류	Erro interno	ВНУТРЕННЯЯ ОШИБКА	Błąd wewnętrzny	内部错误
AlertDesc_InternalError		Some error occured while performing the operation	Si è verificato un errore durante l'operazione.	Se ha producido un error durante la operación	Une erreur s'est produite lors de l'exécution de l'opération	Beim Durchführen der Operation ist ein Fehler aufgetreten	操作の実行中にエラーが生じました。	작업 수행 중 오류가 발생했습니다.	Ocorreu algum erro ao executar a operação	ОШИБКА ПРИ ВЫПОЛНЕНИИ ОПЕРАЦИИ	Wystąpił błąd podczas wykonywania tej operacji	执行操作时发生错误
AlertTitle_BonVoyage		HAVE A GOOD JOURNEY!	BUON VIAGGIO!	¡BUEN VIAJE!	BON VOYAGE!	GUTE REISE!	BON VOYAGE!  良い旅を！	좋은 여행이 되십시오!	Faça uma boa viagem!	СЧАСТЛИВОГО ПУТИ!	UDANEJ PODRÓŻY!	Bon Vogae 旅途愉快！
AlertDesc_BonVoyage		Your customized Tour Guides from\n\%@\\n are now available for you to explore!	Le tue Tour Guides personalizzate da\n\%@\\n sono pronte per essere esplorate.	¡Sus Tours personalizados \n\%@\\n ya están disponibles! 	Vos Guides Touristiques personnalisés de\n\%@\\n sont désormais disponibles pour votre exploration!	Ihre individuell angepassten Tour Guides von\n\%@\\nsind nun verfügbar, um von Ihnen entdeckt zu werden!	あなたが設定したツアーガイドは\n\%@\\nからご利用頂けます。	당신의 \n\%@\\n 맞춤 여행 가이드를 지금 검색 할 수 있습니다!	Seus guias turísticos personalizados de \n\%@\\n estão agora disponíveis para você explorar! 	ИЗ \n\%@\\n МОЖНО ПРИСТУПАТЬ К ИЗУЧЕНИЮ ПЕРСОНАЛИЗИРОВАННЫХ ГИДОВ!	Twoje spersonalizowane Przewodniki z\n\%@\\n są teraz dostępne!	\％@ \为您的私人订制已就绪！
AlertTitle_PackageUpdate		Update Available	Aggiornamento disponibile 	Actualización disponible	Mise à jour disponible	Update verfügbar	更新可能	업데이트 사용 가능	Atualização disponível	ДОСТУПНО ОБНОВЛЕНИЕ	Dostępna aktualizacja	可更新
AlertDesc_PackageUpdate		An update for this Audioguide is available for download.\nDo you want to download it now?	È disponibile un aggiornamento di questa Audioguida.\nVuoi scaricarlo adesso?	Hay una actualización disponible.\n¿Descargar ahora?	Une mise à jour est disponible. \n Souhaitez-vous la télécharger dès à présent?	Es ist eine Aktualisierung für diesen Audioguide verfügbar.\nJetzt herunterladen?	オーディオガイドの更新が可能です。\n今すぐダウンロードしますか？	오디오 가이드의 업데이트를 다운로드 할 수 있습니다. \ n 지금 다운로드하시겠습니까?	Há uma atualização disponível. \n Você deseja baixa-la agora? 	ОБНОВЛЕНИЕ ДЛЯ ЭТОГО АУДИОГИДА ДОСТУПНО ДЛЯ СКАЧИВАНИЯ.   \nСКАЧАТЬ   СЕЙЧАС?	Jest dostępna aktualizacja dla tego Audioprzewodnika.\nCzy chcesz ją teraz pobrać?	此语音导览的更新可以下载。\ n是否要立即下载？
AlertTitle_PackageDelete		Delete?	Vuoi cancellare?	¿Borrar?	Supprimer?	Löschen?	削除？	삭제하시겠습니까?	Excluir?	УДАЛИТЬ?	Usunąć?	删除？
AlertDesc_PackageDelete		Are you sure you want to delete the contents of this Tour?\nThe Tour entry will continue to be displayed in this list and you would be able to redownload the contents in the future.	Sei sicuro di voler eliminare i contenuti di questo Tour?\nQuesto Tour continuerà ad apparire nell'elenco e potrai riscaricarne il contenuto in futuro. 	¿Está seguro de borrar el contenido de este tour?\nEl Tour seguirá disponible en la lista y podrá volver a cargar el contenido en el futuro 	Êtes-vous sûr de vouloir supprimer le contenu de ce Tour? \ nLe Tour continuera de figurer dans la liste et vous pourrez retélécharger son contenu à l'avenir.	Sind Sie sicher, dass Sie den Inhalt dieser Tour löschen möchten?\nDie Tour wird weiterhin aufgelistet werden und Sie können den Inhalt in Zukunft erneut herunterladen	このツァーの内容を削除しますか？\nツアーのエントリは引き続きこのリストに表示され、将来コンテンツを再ダウンロードすることができます。	이 여행을 삭제 하시겠습니까? \ n 이 여행은 다시 다운로드 할 수 있습니다.	Tem certeza que você deseja excluir o conteúdo desse tour? \n O tour vai continuar aparecendo na sua lista e você poderá baixar novamente o seu conteúdo	ВЫ УВЕРЕНЫ, ЧТО ХОТИТЕ УДАЛИТЬ СОДЕРЖИМОЕ ЭТОГО ТУРА? \nЗАПИСЬ О ТУРЕ БУДЕТ ПО-ПРЕЖНЕМУ ОТОБРАЖАТЬСЯ В ЭТОМ СПИСКЕ, И ВЫ СМОЖЕТЕ ПОВТОРНО ЗАГРУЗИТЬ СОДЕРЖИМОЕ В БУДУЩЕМ.	Czy na pewno chcesz usunąć zawartość tego Przewodnika?\nPrzewodnik nadal będzie widoczny na liście i będziesz mόgł ponownie pobrać jego zawartość w pszyszłości.	您确定要删除此次行程的内容吗？\n“行程”的条目将继续显示在此列表中，以便您将来可以重新下载该内容。
AlertDesc_LocationPermission		To continue, let your device turn on POPGuide's location service so the map works offline without incurring roaming charges	Per continuare attiva il servizio di localizzazione di POPGuide, così la mappa funzionerà offline senza alcun costo di roaming.	Permita que PopGuide acceda a su ubicación para estar en modo offline y sin costes de roaming. 	Pour continuer, veuillez accepter le système de géolocalisation afin que la carte puise fonctionner hors ligne sans frais d'itinérance	Um weiterzumachen, erlauben Sie POPGuide die Ortungsfunktion zu aktivieren, damit die Karte offline funktioniert und keine Kosten für Roaming entstehen.	続行するには、POPGuideのロケーションサービスをオンにして、地図がローミング料金を発生させずにオフラインで機能するようにします。	계속하려면 POPGuide가 위치 서비스를 사용하도록 설정해 로밍 요금을 부과 없이 지도를 오프라인으로 작동할 수 있게 합니다.	Para continuar deixe seu dispositivo ativar o serviço de localização do POPGuide para que o mapa funcione offline e sem custos de roaming	ЧТОБЫ ПРОДОЛЖИТЬ, ВКЛЮЧИТЕ ДАННЫЕ О МЕСТОПОЛОЖЕНИИ В POPGUIDE, ЧТОБЫ КАРТА РАБОТАЛА В   РЕЖИМЕ ОФФЛАЙН ДЛЯ ИЗБЕЖАНИЯ ОПЛАТЫ ЗА ПЕРЕДАЧУ ДАННЫХ В РОУМИНГЕ.	Zaakceptuj proszę geolokalizację, aby używać mapy w trybie offline zapobiegając kosztom roamingu	为了继续，请您允许设备打开POPGuide的位置服务，以便使地图可离线工作，从而不会产生漫游费用
AlertDesc_CameraPermissionRequired		Camera permission is required for the QR code scanner. Please enable it from the App's settings	È necessario autorizzare l'uso della videocamera per la scansione dei codici QR. Per attivarla, vai alle impostazioni dell'applicazione.	Se requiere acceso a la cámara para escanear el código QR. Por favor, actívelo en los ajustes de la aplicación.	L'autorisation de la caméra est requise pour scanner de code QR. Veuillez l'activer dans les paramètres de l'application	Für die Nutzung des QR Code Scanners ist der Zugriff auf die Kamera notwendig. Bitte schalten Sie den Zugriff über die Einstellungen der App frei.	QRコードスキャナにはカメラ権限が必要です。 アプリの設定から有効にしてください。	QR 코드 스캐너에 카메라가 필요합니다. 앱 설정에서 활성화하십시오.	A permissão da câmera é necessária para scannear o código QR. Por favor, ative-a nas configurações do aplicativo	ДЛЯ ПОДКЛЮЧЕНИЯ QR-СКАННЕРА РАЗРЕШИТЕ ПОЛЬЗОВАНИЕ КАМЕРОЙ. ПОЖАЛУЙСТА, ВКЛЮЧИТЕ   ЭТУ ОПЦИЮ В НАСТРОЙКАХ, ОТМЕТИВ КАМЕРУ ГАЛОЧКОЙ	Wymagane jest pozwolenie na użycie aparatu fotograficznego w celu zeskanowana kodu QR. Wybierz je proszę w ustawieniach	扫二维码功能需允许访问相机，请从应用的设置中开启
AlertTitle_ConfirmLogout		Logout?	Vuoi terminare la sessione? 	¿Desea salir?	Déconnexion?	ABMELDEN?	ログアウト	로그아웃 하시겠습니까?	Sair? 	ВЫХОД?	Wylogować?	退出？
AlertDesc_ConfirmLogout		Do you really want to logout from this account?\nAll the related Audioguides would also be removed!	Sei sicuro di voler terminare la sessione? Anche le relative Audioguide verranno cancellate.	¿Desea salir de esta cuenta? \n¡Todas las Audioguías serán eliminadas!	La déconnexion supprimera toutes les données téléchargées pour ce compte!	Möchten Sie sich wirklich abmelden?\nAllem mit diesem Benutzerkonto verbundenen Audioguides werden entfernt	このアカウントから本当にログアウトしますか？\n関連するすべてのオーディオガイドも削除されます！	이 계정에서 정말 로그아웃하시겠습니까? \ n 관련된 오디오 가이드도 모두 제거됩니다.	Você deseja realmente sair dessa conta? \n Todos os Audioguides relacionados também serão removidos! 	ВЫ ДЕЙСТВИТЕЛЬНО ХОТИТЕ ВЫЙТИ ИЗ ЭТОЙ УЧЕТНОЙ ЗАПИСИ? \nВСЕ АУДИОГИДЫ БУДУТ ТАКЖЕ УДАЛЕНЫ!	Czy na pewno chcesz wylogować się z tego konta?\nWszystkie dane zostaną usunięte.	您真的要从此账号退出吗？\n 所有相关的语音导览也将被清除
